,Date,Price
901,2019-07-14,44099.0
408,2019-07-18,44100.0
409,2019-07-22,44106.0
902,2019-07-23,44106.0
410,2019-07-25,44134.0
903,2019-07-27,44841.0
412,2019-07-31,44841.0
413,2019-08-02,44837.0
905,2019-08-03,44883.0
414,2019-08-06,44911.0
415,2019-08-09,44911.0
906,2019-08-10,44941.0
417,2019-08-15,44941.0
907,2019-08-16,44941.0
418,2019-08-17,44986.0
908,2019-08-18,44986.0
419,2019-08-20,44984.0
420,2019-08-24,44984.0
909,2019-08-26,44984.0
421,2019-08-27,44991.0
910,2019-08-29,45050.0
423,2019-08-31,45050.0
424,2019-09-05,45050.0
911,2019-09-06,45050.0
425,2019-09-07,45179.0
426,2019-09-09,45179.0
427,2019-09-13,45237.0
428,2019-09-16,45241.0
913,2019-09-17,45274.0
429,2019-09-18,45274.0
914,2019-09-22,45274.0
430,2019-09-23,45274.0
915,2019-09-26,45294.0
432,2019-09-28,45294.0
916,2019-10-01,45285.0
917,2019-10-03,45169.0
435,2019-10-07,45169.0
436,2019-10-11,45175.0
918,2019-10-12,45215.0
919,2019-10-13,46342.0
438,2019-10-16,46406.0
920,2019-10-19,46406.0
440,2019-10-21,46295.0
441,2019-10-26,46293.0
921,2019-10-27,46293.0
442,2019-10-28,46287.0
443,2019-11-01,46640.0
444,2019-11-04,47182.0
445,2019-11-07,47141.0
446,2019-11-10,47167.0
447,2019-11-13,47127.0
925,2019-11-15,47141.0
448,2019-11-16,47372.0
926,2019-11-17,47372.0
449,2019-11-19,47363.0
450,2019-11-22,47363.0
927,2019-11-25,47373.0
452,2019-11-26,47446.0
928,2019-11-27,47446.0
453,2019-11-29,47446.0
454,2019-12-04,47446.0
929,2019-12-05,47446.0
455,2019-12-06,47452.0
456,2019-12-08,47513.0
457,2019-12-14,47503.0
458,2019-12-15,47537.0
459,2019-12-18,47494.0
460,2019-12-22,47672.0
933,2019-12-24,47672.0
461,2019-12-25,47409.0
934,2019-12-27,47426.0
462,2019-12-29,47426.0
463,2019-12-30,47490.0
464,2020-01-04,47447.0
935,2020-01-05,47447.0
