Model,Predition,%Error,,,
A. Lange & Söhne 140.029,Next 90D,15.30623354,,,
A. Lange & Söhne 140.029,Next 90D,15.32534702,,,
A. Lange & Söhne 140.029,Next 90D,15.33622319,,,
A. Lange & Söhne 140.029,Next 90D,15.33099807,,,
A. Lange & Söhne 140.029,Next 90D,15.53887143,,,
A. Lange & Söhne 140.029,Next 90D,15.58132704,,,
A. Lange & Söhne 140.029,Next 90D,15.61890845,,,
A. Lange & Söhne 140.029,Next 90D,15.64158057,,,
A. Lange & Söhne 140.029,Next 90D,15.7000959,,,
A. Lange & Söhne 140.029,Next 90D,15.73822144,,,
A. Lange & Söhne 140.029,Next 90D,15.75253912,,,
A. Lange & Söhne 140.029,Next 90D,15.74962528,,,
A. Lange & Söhne 140.029,Next 90D,15.73592035,,,
A. Lange & Söhne 140.029,Next 90D,15.71582762,,,
A. Lange & Söhne 140.029,Next 90D,15.69198868,,,
A. Lange & Söhne 140.029,Next 90D,15.71533459,,,
A. Lange & Söhne 140.029,Next 90D,15.7281217,,,
A. Lange & Söhne 140.029,Next 90D,15.72481285,,,
A. Lange & Söhne 140.029,Next 90D,15.7095349,,,
A. Lange & Söhne 140.029,Next 90D,15.68716867,,,
A. Lange & Söhne 140.029,Next 90D,15.6610621,,,
A. Lange & Söhne 140.029,Next 90D,15.6331375,,,
A. Lange & Söhne 140.029,Next 90D,15.65289374,,,
A. Lange & Söhne 140.029,Next 90D,15.65513892,,,
A. Lange & Söhne 140.029,Next 90D,15.64044623,,,
A. Lange & Söhne 140.029,Next 90D,15.61538137,,,
A. Lange & Söhne 140.029,Next 90D,15.58552719,,,
A. Lange & Söhne 140.029,Next 90D,15.55415304,,,
A. Lange & Söhne 140.029,Next 90D,15.52283489,,,
A. Lange & Söhne 140.029,Next 90D,15.53924873,,,
A. Lange & Söhne 140.029,Next 90D,15.54708671,,,
A. Lange & Söhne 140.029,Next 90D,15.54002773,,,
A. Lange & Söhne 140.029,Next 90D,15.52224947,,,
A. Lange & Söhne 140.029,Next 90D,15.49845452,,,
A. Lange & Söhne 140.029,Next 90D,15.60309781,,,
A. Lange & Söhne 140.029,Next 90D,15.58492979,,,
A. Lange & Söhne 140.029,Next 90D,15.68121955,,,
A. Lange & Söhne 140.029,Next 90D,15.76673042,,,
A. Lange & Söhne 140.029,Next 90D,15.83291216,,,
A. Lange & Söhne 140.029,Next 90D,15.87360219,,,
A. Lange & Söhne 140.029,Next 90D,15.89398738,,,
A. Lange & Söhne 140.029,Next 90D,15.89939834,,,
A. Lange & Söhne 140.029,Next 90D,15.89414938,,,
A. Lange & Söhne 140.029,Next 90D,15.9299626,,,
A. Lange & Söhne 140.029,Next 90D,15.9514481,,,
A. Lange & Söhne 140.029,Next 90D,15.95375018,,,
A. Lange & Söhne 140.029,Next 90D,16.01338668,,,
A. Lange & Söhne 140.029,Next 90D,15.99034916,,,
A. Lange & Söhne 140.029,Next 90D,15.95832776,,,
A. Lange & Söhne 140.029,Next 90D,15.92424355,,,
A. Lange & Söhne 140.029,Next 90D,15.93769473,,,
A. Lange & Söhne 140.029,Next 90D,15.94342788,,,
A. Lange & Söhne 140.029,Next 90D,15.9348431,,,
A. Lange & Söhne 140.029,Next 90D,15.91598232,,,
A. Lange & Söhne 140.029,Next 90D,15.82976374,,,
A. Lange & Söhne 140.029,Next 90D,15.80367545,,,
A. Lange & Söhne 140.029,Next 90D,15.77641978,,,
A. Lange & Söhne 140.029,Next 90D,15.79509812,,,
A. Lange & Söhne 140.029,Next 90D,15.80556291,,,
A. Lange & Söhne 140.029,Next 90D,15.80079195,,,
A. Lange & Söhne 140.029,Next 90D,15.78485534,,,
A. Lange & Söhne 140.029,Next 90D,15.76105774,,,
A. Lange & Söhne 140.029,Next 90D,15.73395158,,,
A. Lange & Söhne 140.029,Next 90D,15.7057024,,,
A. Lange & Söhne 140.029,Next 90D,15.71886843,,,
A. Lange & Söhne 140.029,Next 90D,15.72432207,,,
A. Lange & Söhne 140.029,Next 90D,17.19900561,,,
A. Lange & Söhne 140.029,Next 90D,17.23629395,,,
A. Lange & Söhne 140.029,Next 90D,17.25567438,,,
A. Lange & Söhne 140.029,Next 90D,17.50164926,,,
A. Lange & Söhne 140.029,Next 90D,17.49560408,,,
A. Lange & Söhne 140.029,Next 90D,17.52863063,,,
A. Lange & Söhne 140.029,Next 90D,17.54846406,,,
A. Lange & Söhne 404.035,Next 30D,1.118627971,,,
A. Lange & Söhne 404.035,Next 30D,1.105013548,,,
A. Lange & Söhne 404.035,Next 30D,1.100660915,,,
A. Lange & Söhne 404.035,Next 30D,1.104714185,,,
A. Lange & Söhne 404.035,Next 30D,1.115932385,,,
A. Lange & Söhne 404.035,Next 30D,1.130063771,,,
A. Lange & Söhne 404.035,Next 30D,1.152188281,,,
A. Lange & Söhne 404.035,Next 30D,0.606617633,,,
A. Lange & Söhne 404.035,Next 30D,0.622673887,,,
A. Lange & Söhne 404.035,Next 30D,0.635817574,,,
A. Lange & Söhne 404.035,Next 30D,0.627252015,,,
A. Lange & Söhne 404.035,Next 30D,0.637979919,,,
A. Lange & Söhne 404.035,Next 30D,0.654378209,,,
A. Lange & Söhne 404.035,Next 30D,0.676981491,,,
A. Lange & Söhne 404.035,Next 30D,0.692146079,,,
A. Lange & Söhne 404.035,Next 30D,0.701182616,,,
A. Lange & Söhne 404.035,Next 30D,0.699321855,,,
A. Lange & Söhne 404.035,Next 30D,0.702162858,,,
A. Lange & Söhne 404.035,Next 30D,0.704260278,,,
A. Lange & Söhne 404.035,Next 30D,0.709044148,,,
A. Lange & Söhne 404.035,Next 30D,0.723622612,,,
A. Lange & Söhne 404.035,Next 30D,0.73517368,,,
A. Lange & Söhne 404.035,Next 30D,0.573722522,,,
A. Lange & Söhne 404.035,Next 30D,0.580231488,,,
A. Lange & Söhne 404.035,Next 30D,0.585700587,,,
A. Lange & Söhne 404.035,Next 30D,0.593147311,,,
A. Lange & Söhne 404.035,Next 30D,0.616787454,,,
A. Lange & Söhne 404.035,Next 30D,0.651848722,,,
A. Lange & Söhne 404.035,Next 30D,0.65870777,,,
A. Lange & Söhne 404.035,Next 30D,0.657554184,,,
A. Lange & Söhne 404.035,Next 30D,0.652313477,,,
A. Lange & Söhne 404.035,Next 30D,0.647954465,,,
A. Lange & Söhne 404.035,Next 30D,0.680782446,,,
A. Lange & Söhne 404.035,Next 30D,0.694163255,,,
A. Lange & Söhne 404.035,Next 30D,0.718472311,,,
A. Lange & Söhne 404.035,Next 30D,0.741013689,,,
A. Lange & Söhne 404.035,Next 30D,0.760510623,,,
A. Lange & Söhne 404.035,Next 30D,0.777082685,,,
A. Lange & Söhne 404.035,Next 30D,0.815854015,,,
A. Lange & Söhne 404.035,Next 30D,0.863498277,,,
A. Lange & Söhne 404.035,Next 30D,0.918263072,,,
A. Lange & Söhne 404.035,Next 30D,0.981393281,,,
A. Lange & Söhne 404.035,Next 30D,1.039587144,,,
A. Lange & Söhne 404.035,Next 30D,1.369689864,,,
A. Lange & Söhne 404.035,Next 30D,1.446893967,,,
A. Lange & Söhne 404.035,Next 30D,1.488557411,,,
A. Lange & Söhne 404.035,Next 30D,1.527621649,,,
A. Lange & Söhne 404.035,Next 30D,1.566434907,,,
A. Lange & Söhne 404.035,Next 30D,1.609234055,,,
A. Lange & Söhne 404.035,Next 30D,1.794380145,,,
A. Lange & Söhne 404.035,Next 30D,1.823517213,,,
A. Lange & Söhne 404.035,Next 30D,1.846614089,,,
A. Lange & Söhne 404.035,Next 30D,1.865785336,,,
A. Lange & Söhne 404.035,Next 30D,2.078763176,,,
A. Lange & Söhne 404.035,Next 30D,2.106636575,,,
A. Lange & Söhne 404.035,Next 30D,2.141210386,,,
A. Lange & Söhne 404.035,Next 30D,2.365781734,,,
A. Lange & Söhne 404.035,Next 30D,2.392025218,,,
A. Lange & Söhne 404.035,Next 30D,2.415175731,,,
A. Lange & Söhne 404.035,Next 30D,2.613869975,,,
A. Lange & Söhne 404.035,Next 30D,2.631682938,,,
A. Lange & Söhne 404.035,Next 30D,2.649188882,,,
A. Lange & Söhne 404.035,Next 30D,2.675221644,,,
A. Lange & Söhne 404.035,Next 30D,2.698294016,,,
A. Lange & Söhne 404.035,Next 30D,2.718017459,,,
A. Lange & Söhne 404.035,Next 30D,2.734869265,,,
A. Lange & Söhne 404.035,Next 30D,2.679622923,,,
A. Lange & Söhne 404.035,Next 30D,2.696244265,,,
A. Lange & Söhne 404.035,Next 30D,3.20299303,,,
A. Lange & Söhne 404.035,Next 30D,3.227004407,,,
A. Lange & Söhne 404.035,Next 30D,3.500374814,,,
A. Lange & Söhne 404.035,Next 30D,3.515440056,,,
A. Lange & Söhne 404.035,Next 30D,3.526942523,,,
A. Lange & Söhne 404.035,Next 30D,3.536725953,,,
A. Lange & Söhne 404.035,Next 30D,3.76617181,,,
A. Lange & Söhne 404.035,Next 30D,3.761389176,,,
A. Lange & Söhne 404.035,Next 30D,3.759704865,,,
A. Lange & Söhne 404.035,Next 30D,3.981229998,,,
A. Lange & Söhne 404.035,Next 30D,3.969925277,,,
A. Lange & Söhne 404.035,Next 30D,3.955792751,,,
A. Lange & Söhne 404.035,Next 30D,3.934981876,,,
A. Lange & Söhne 404.035,Next 30D,3.913679774,,,
A. Lange & Söhne 404.035,Next 30D,4.207592131,,,
A. Lange & Söhne 404.035,Next 30D,4.196512642,,,
A. Lange & Söhne 404.035,Next 30D,4.175718278,,,
A. Lange & Söhne 404.035,Next 30D,4.15010728,,,
A. Lange & Söhne 404.035,Next 30D,4.121651767,,,
A. Lange & Söhne 404.035,Next 30D,4.085125785,,,
A. Lange & Söhne 404.035,Next 30D,4.048209265,,,
A. Lange & Söhne 404.035,Next 30D,3.847995907,,,
A. Lange & Söhne 404.035,Next 30D,3.816420986,,,
A. Lange & Söhne 404.035,Next 30D,3.781504838,,,
A. Lange & Söhne 404.035,Next 30D,3.744496369,,,
A. Lange & Söhne 404.035,Next 30D,3.710552745,,,
A. Lange & Söhne 404.035,Next 30D,3.920333339,,,
A. Lange & Söhne 404.035,Next 30D,3.89691872,,,
A. Lange & Söhne 404.035,Next 30D,3.881048811,,,
A. Lange & Söhne 404.035,Next 30D,4.147533681,,,
A. Lange & Söhne 404.035,Next 30D,4.862219975,,,
A. Lange & Söhne 404.035,Next 30D,4.838067932,,,
A. Lange & Söhne 404.035,Next 30D,5.033394821,,,
A. Lange & Söhne 404.035,Next 30D,4.988715834,,,
A. Lange & Söhne 404.035,Next 30D,4.855410471,,,
A. Lange & Söhne 404.035,Next 30D,4.811006244,,,
A. Lange & Söhne 404.035,Next 30D,4.774971461,,,
A. Lange & Söhne 404.035,Next 30D,4.727493449,,,
A. Lange & Söhne 404.035,Next 30D,4.675994447,,,
A. Lange & Söhne 404.035,Next 30D,4.62321566,,,
A. Lange & Söhne 404.035,Next 30D,4.562759447,,,
A. Lange & Söhne 404.035,Next 30D,4.503719247,,,
A. Lange & Söhne 404.035,Next 30D,4.450489562,,,
A. Lange & Söhne 404.035,Next 30D,4.407830088,,,
A. Lange & Söhne 404.035,Next 30D,4.365512146,,,
A. Lange & Söhne 404.035,Next 30D,4.310680332,,,
A. Lange & Söhne 404.035,Next 30D,4.503283426,,,
A. Lange & Söhne 404.035,Next 30D,4.446661304,,,
A. Lange & Söhne 404.035,Next 30D,4.130533747,,,
A. Lange & Söhne 404.035,Next 30D,4.085449756,,,
A. Lange & Söhne 404.035,Next 30D,4.05275665,,,
A. Lange & Söhne 404.035,Next 30D,4.021097237,,,
A. Lange & Söhne 404.035,Next 30D,3.997049158,,,
A. Lange & Söhne 404.035,Next 30D,4.522457352,,,
A. Lange & Söhne 404.035,Next 30D,4.504704122,,,
A. Lange & Söhne 404.035,Next 30D,4.460528072,,,
A. Lange & Söhne 404.035,Next 30D,4.796488347,,,
A. Lange & Söhne 404.035,Next 30D,4.669880648,,,
A. Lange & Söhne 404.035,Next 30D,4.508968835,,,
A. Lange & Söhne 404.035,Next 30D,4.329088701,,,
A. Lange & Söhne 404.035,Next 30D,4.132039092,,,
A. Lange & Söhne 404.035,Next 30D,3.908634494,,,
A. Lange & Söhne 404.035,Next 30D,3.684841624,,,
A. Lange & Söhne 404.035,Next 30D,3.464683182,,,
A. Lange & Söhne 404.035,Next 30D,3.264749086,,,
A. Lange & Söhne 404.035,Next 30D,3.389708948,,,
A. Lange & Söhne 404.035,Next 30D,3.219217185,,,
A. Lange & Söhne 404.035,Next 30D,3.062248818,,,
A. Lange & Söhne 404.035,Next 30D,3.183718199,,,
A. Lange & Söhne 404.035,Next 30D,3.056180198,,,
A. Lange & Söhne 404.035,Next 30D,3.200738451,,,
A. Lange & Söhne 404.035,Next 30D,3.113904547,,,
A. Lange & Söhne 404.035,Next 30D,3.294482294,,,
A. Lange & Söhne 404.035,Next 30D,3.222784537,,,
A. Lange & Söhne 404.035,Next 30D,3.155566246,,,
A. Lange & Söhne 404.035,Next 30D,3.094147711,,,
A. Lange & Söhne 404.035,Next 30D,3.258383893,,,
A. Lange & Söhne 404.035,Next 30D,3.203174651,,,
A. Lange & Söhne 404.035,Next 30D,3.163753672,,,
A. Lange & Söhne 404.035,Next 30D,3.135058589,,,
A. Lange & Söhne 404.035,Next 30D,3.108342585,,,
A. Lange & Söhne 404.035,Next 30D,3.081849672,,,
A. Lange & Söhne 404.035,Next 30D,3.056040407,,,
A. Lange & Söhne 404.035,Next 30D,3.033025725,,,
A. Lange & Söhne 404.035,Next 30D,3.551506146,,,
A. Lange & Söhne 404.035,Next 30D,3.528897728,,,
A. Lange & Söhne 404.035,Next 30D,3.711484105,,,
A. Lange & Söhne 404.035,Next 30D,3.671038581,,,
A. Lange & Söhne 404.035,Next 30D,3.632770253,,,
A. Lange & Söhne 404.035,Next 30D,3.598964187,,,
A. Lange & Söhne 404.035,Next 30D,3.571614081,,,
A. Lange & Söhne 404.035,Next 90D,3.560493667,,,
A. Lange & Söhne 404.035,Next 90D,3.532695715,,,
A. Lange & Söhne 404.035,Next 90D,3.506860181,,,
A. Lange & Söhne 404.035,Next 90D,3.493181772,,,
A. Lange & Söhne 404.035,Next 90D,3.492394833,,,
A. Lange & Söhne 404.035,Next 90D,3.50092428,,,
A. Lange & Söhne 404.035,Next 90D,3.430423153,,,
A. Lange & Söhne 404.035,Next 90D,3.432402464,,,
A. Lange & Söhne 404.035,Next 90D,3.922216277,,,
A. Lange & Söhne 404.035,Next 90D,3.930031872,,,
A. Lange & Söhne 404.035,Next 90D,4.193844705,,,
A. Lange & Söhne 404.035,Next 90D,4.209637583,,,
A. Lange & Söhne 404.035,Next 90D,4.230441654,,,
A. Lange & Söhne 404.035,Next 90D,4.239100169,,,
A. Lange & Söhne 404.035,Next 90D,4.474816818,,,
A. Lange & Söhne 404.035,Next 90D,4.481506514,,,
A. Lange & Söhne 404.035,Next 90D,4.490317555,,,
A. Lange & Söhne 404.035,Next 90D,4.729387398,,,
A. Lange & Söhne 404.035,Next 90D,4.745392565,,,
A. Lange & Söhne 404.035,Next 90D,4.765681024,,,
A. Lange & Söhne 404.035,Next 90D,4.774922722,,,
A. Lange & Söhne 404.035,Next 90D,4.782956494,,,
A. Lange & Söhne 404.035,Next 90D,5.101260129,,,
A. Lange & Söhne 404.035,Next 90D,5.113259941,,,
A. Lange & Söhne 404.035,Next 90D,5.128968245,,,
A. Lange & Söhne 404.035,Next 90D,5.152543329,,,
A. Lange & Söhne 404.035,Next 90D,5.18157461,,,
A. Lange & Söhne 404.035,Next 90D,5.199011513,,,
A. Lange & Söhne 404.035,Next 90D,5.204531504,,,
A. Lange & Söhne 404.035,Next 90D,5.043787358,,,
A. Lange & Söhne 404.035,Next 90D,5.049113533,,,
A. Lange & Söhne 404.035,Next 90D,5.025595836,,,
A. Lange & Söhne 404.035,Next 90D,5.006513861,,,
A. Lange & Söhne 404.035,Next 90D,4.999919641,,,
A. Lange & Söhne 404.035,Next 90D,5.226236467,,,
A. Lange & Söhne 404.035,Next 90D,5.221713395,,,
A. Lange & Söhne 404.035,Next 90D,5.222161884,,,
A. Lange & Söhne 404.035,Next 90D,5.493560989,,,
A. Lange & Söhne 404.035,Next 90D,6.220794975,,,
A. Lange & Söhne 404.035,Next 90D,6.247755373,,,
A. Lange & Söhne 404.035,Next 90D,6.503028437,,,
A. Lange & Söhne 404.035,Next 90D,6.523255422,,,
A. Lange & Söhne 404.035,Next 90D,6.456374468,,,
A. Lange & Söhne 404.035,Next 90D,6.473540269,,,
A. Lange & Söhne 404.035,Next 90D,6.491503937,,,
A. Lange & Söhne 404.035,Next 90D,6.511283671,,,
